YEAR DOY HR    1 
1963 333  0  78.4
1963 360  0  71.9
1964  22  0  71.3
1964  49  0  76.5
1964  76  0  75.5
1964 103  0  71.6
1964 130  0  70.3
1964 157  0  71.4
1964 184  0  69.3
1964 211  0  71.1
1964 238  0  70.7
1964 265  0  71.0
1964 292  0  72.4
1964 319  0  72.4
1964 346  0  76.4
1965   7  0  74.1
1965  34  0  72.5
1965  61  0  73.1
1965  88  0  72.8
1965 115  0  77.3
1965 142  0  79.8
1965 169  0  80.3
1965 196  0  75.6
1965 223  0  76.0
1965 250  0  78.8
1965 277  0  77.6
1965 304  0  75.5
1965 331  0  73.1
1965 358  0  82.5
1966  20  0  83.2
1966  47  0  80.1
1966  74  0 100.6
1966 101  0  94.2
1966 128  0 103.5
1966 155  0  98.9
1966 182  0 107.6
1966 209  0 106.5
1966 236  0 114.5
1966 263  0 111.9
1966 290  0 107.9
1966 317  0 112.7
1966 344  0 129.1
1967   6  0 142.0
1967  33  0 143.1
1967  60  0 156.5
1967  87  0 137.0
1967 114  0 123.4
1967 141  0 150.8
1967 168  0 121.9
1967 195  0 162.1
1967 222  0 156.5
1967 249  0 131.0
1967 276  0 133.5
1967 303  0 140.9
1967 330  0 154.4
1967 357  0 181.9
1968  19  0 178.6
1968  46  0 147.7
1968  73  0 140.2
1968 100  0 133.5
1968 127  0 159.3
1968 154  0 147.3
1968 181  0 140.9
1968 208  0 152.3
1968 235  0 136.9
1968 262  0 140.6
1968 289  0 153.1
1968 316  0 136.8
1968 343  0 143.4
1969   4  0 149.3
1969  31  0 147.8
1969  58  0 169.3
1969  85  0 168.1
1969 112  0 143.6
1969 139  0 176.5
1969 166  0 149.7
1969 193  0 142.4
1969 220  0 138.4
1969 247  0 137.0
1969 274  0 150.5
1969 301  0 152.0
1969 328  0 140.3
1969 355  0 149.0
1970  17  0 155.4
1970  44  0 180.3
1970  71  0 157.3
1970  98  0 159.6
1970 125  0 173.7
1970 152  0 159.0
1970 179  0 155.5
1970 206  0 147.7
1970 233  0 144.3
1970 260  0 139.8
1970 287  0 154.2
1970 314  0 160.2
1970 341  0 145.5
1971   3  0 158.5
1971  30  0 136.2
1971  57  0 115.4
1971  84  0 118.0
1971 111  0 116.0
1971 138  0 102.1
1971 165  0 114.2
1971 192  0 116.1
1971 219  0 117.1
1971 246  0 105.8
1971 273  0 106.3
1971 300  0 107.9
1971 327  0 119.7
1971 354  0 110.8
1972  16  0 115.0
1972  43  0 151.0
1972  70  0 118.9
1972  97  0 114.9
1972 124  0 136.3
1972 151  0 140.5
1972 178  0 125.9
1972 205  0 125.0
1972 232  0 125.2
1972 259  0 109.1
1972 286  0 125.2
1972 313  0  95.5
1972 340  0 101.6
1973   1  0 100.3
1973  28  0  95.2
1973  55  0 100.5
1973  82  0 102.9
1973 109  0 102.2
1973 136  0  98.9
1973 163  0  91.9
1973 190  0  84.7
1973 217  0  84.7
1973 244  0 105.7
1973 271  0  87.5
1973 298  0  81.2
1973 325  0  80.8
1973 352  0  84.5
1974  14  0  78.6
1974  41  0  79.6
1974  68  0  77.8
1974  95  0  89.3
1974 122  0  92.4
