YEAR DOY HR    1 
1964   1  0  72.1
1965   1  0  76.0
1966   1  0 102.2
1967   1  0 143.3
1968   1  0 149.1
1969   1  0 151.1
1970   1  0 156.0
1971   1  0 118.2
1972   1  0 120.9
1973   1  0  93.4
1974   1  0  86.7
1975   1  0  76.1
1976   1  0  73.4
1977   1  0  86.9
1978   1  0 143.5
1979   1  0 191.6
1980   1  0 198.4
1981   1  0 202.6
1982   1  0 174.8
1983   1  0 119.9
1984   1  0 100.9
1985   1  0  74.8
1986   1  0  74.0
1987   1  0  85.3
1988   1  0 141.1
1989   1  0 213.4
1990   1  0 189.9
1991   1  0 208.0
1992   1  0 150.1
1993   1  0 109.6
1994   1  0  85.6
1995   1  0  77.2
1996   1  0  72.0
1997   1  0  80.9
1998   1  0 118.1
1999   1  0 153.9
2000   1  0 180.0
2001   1  0 181.1
2002   1  0 179.4
2003   1  0 128.4
2004   1  0 106.5
2005   1  0  91.7
2006   1  0  80.0
2007   1  0  73.1
2008   1  0  69.0
2009   1  0  70.5
2010   1  0  80.0
2011   1  0 113.3
2012   1  0 120.0
2013   1  0 122.7
2014   1  0 145.9
2015   1  0 117.7
2016   1  0  88.7
2017   1  0  77.3
2018   1  0  69.9
2019   1  0  69.7
2020   1  0  70.8
